phrase,tension,source_post_ids
brutal job market,T01,1mt0ekr 1npydua 1o9erjz
brutal job search,T01,1refk0c 1u1lbfc
can't get hired,T01,1oeua90
can't get interview,T01,1udssl4
college grads can't get hired,T01,1qwkjfg
companies under-hiring,T01,1n6nk56
got job tough market,T01,1rqjc77
grinding without clearing interviews,T01,1nhbs59
hesitant job market,T01,1u7zqlt
impossible job market,T01,1ntp9lo
job hunt humiliation,T01,1sm6a4c
job market after layoff,T01,1n74jad
job market gets worse,T01,1nln213
job search exhaustion,T01,1svuffl
landed job after grinding,T01,1r8ckd2
long job search,T01,1npydua
long-term unemployment despair,T01,1uaj46z
months of job searching,T01,1r8ckd2
months-long job search,T01,1s04ili
new grad can't land job,T01,1po0gip
prolonged unemployment,T01,1u1lbfc
tired of sending CVs,T01,1svuffl
tough new-grad market,T01,1lptmof
unemployed to remote job,T01,1mbz88x
year-long job search,T01,1nhwbhc
IT pays too little,T02,1lvb6ea
beginner salaries for experience,T02,1rsl4uv
broken pay-rise promise,T02,1np3o82
can't change pay retroactively,T02,1mwgs0e
client lowballing top candidate,T02,1potj30
companies suppressing wages,T02,1s56uty
companies underpay on purpose,T02,1pzw57g
experience requirement inflation,T02,1ql25o4
insulting 2% raise,T02,1qiwdqa
living wage debate,T02,1uhxpst
lowballed during interview,T02,1o36mjj
offering 2021 salaries,T02,1tpvitj
pay better to retain,T02,1sk3urh
power imbalance in hiring,T02,1q73abu
salary based on current pay,T02,1tpvitj
salary history questions,T02,1r74273
salary jump skepticism,T02,1u2eac7
salary lowball on unemployed,T02,1n8g50s
senior experience junior pay,T02,1tgi34h
underpaid hourly rate,T02,1q3g7to
underpaid top performer,T02,1mdcgh3
underpaying valued candidate,T02,1rv81ia
unpaid internship red flags,T02,1tcvmhu
can't filter for competence,T03,1oe8him
compliant not qualified,T03,1ufbwvp
degree as compliance,T03,1ufbwvp
degree requirement over experience,T03,1nm3z9c
gaps assumed to be firing,T03,1nz1ivd
hiring managers should screen,T03,1ryo60i
hiring managers want unicorns,T03,1nkks8w
lazy bulk filter,T03,1q73abu
no degree rejection,T03,1qzk4sj
non-negotiable qualifications check,T03,1p50vs0
not screened by AI,T03,1lx796l
outdated hiring checkboxes,T03,1nm3z9c
rejecting skilled candidates,T03,1nm3z9c
resume 7-second scan,T03,1p50vs0
rounding up GPA,T03,1tgx4y4
stop screening for GPA,T03,1oe8him
won't budge on requirements,T03,1nkks8w
compassionate handling not policing,T04,1n8j5r6
cut off abusive recipient,T04,1o5mfjm
do not respond,T04,1u0ub56
document in writing to HR,T04,1poemw0
document the incident,T04,1pntmta
escalate to HR,T04,1rai4g9
get a lawyer instead,T04,1u3i8f5
host anonymously for safety,T04,1p06g8t
involve local authorities,T04,1oo6ml7
just lie,T04,1ufbwvp
leave Glassdoor review,T04,1sekapw
leave the business,T04,1sfawfb
let them fire you,T04,1mc1byh
mass-reporting to trigger removals,T04,1ot2azu
separate her from team,T04,1slijiq
shut down LinkedIn,T04,1r1c3h0
take the posting down,T04,1qxg9vv
2000 applications one offer,T05,1nhwbhc
be first applicant,T05,1n3reu8
being an early applicant,T05,1mt0ekr
don't self-eliminate applying,T05,1npbu7w
easier to reach NBA,T05,1ovx9nr
employer's market,T05,1o6hb0e
employers don't care,T05,1n2ncbs
first FAANG offer,T05,1locuwk
hiring is numbers game,T05,1qzituj
hundreds of applications needed,T05,1o9erjz
hundreds of applications sent,T05,1u1lbfc
hundreds of resumes sent,T05,1s04ili
recruiter visibility,T05,1nmapst
still hiring engineers,T05,1slp30t
thousands of apps no offers,T05,1t3gbbu
under-10-applicants filter,T05,1mt0ekr
visa sponsorship hurts chances,T05,1nhwbhc
after-hours work calls,T06,1pfnn0x
better work-life balance,T06,1qis6wa
brutal 24/7 on-call,T06,1r7of81
burnout and retention,T06,1mi8vnz
burnout one-person IT,T06,1qis6wa
desk job mental health,T06,1otuw7c
devs burning out,T06,1rt62gb
escape the 9-5,T06,1otuw7c
four-day work week,T06,1mi8vnz
good work punished with more work,T06,1mo2ki0
no work-life balance,T06,1o95zv3
revenue up fewer hours,T06,1rcbykx
right to disconnect,T06,1pfnn0x
understaffed,T06,1mhnd12
unreasonable office hours,T06,1qwoi6a
what makes people burn out,T06,1s1f90b
working during festival,T06,1obonv6
charging no-show deposits,T07,1rb2lh4
client crying poor,T07,1p17d8b
client rate cut,T07,1n95sty
determining market value,T07,1qqd37p
discount on a sob story,T07,1p17d8b
guilt-tripping over negotiation,T07,1rv81ia
hagglers hardest customers,T07,1od7j5k
hold your prices,T07,1od7j5k
last-minute lowball offer,T07,1nt8eko
offer below expectations,T07,1n8g50s
raise their price instead,T07,1o8zqpq
raised prices lost worst clients,T07,1rcbykx
scope creep charges,T07,1qdmgaj
setup cost question,T07,1sv9mwm
stopped giving discounts,T07,1od7j5k
unprofitable contract,T07,1n95sty
years of undercharging,T07,1rcbykx
90% tech roles cut,T08,1u81t0h
FAANG no longer stable,T08,1lpwy62
IT cost-cutting backfires,T08,1snww7w
Meta layoffs for AI,T08,1rt62gb
Oracle mass layoffs,T08,1s8qy30
amazon corporate layoffs,T08,1ohnh7q
brutal tech job market,T08,1mcop22
layoffs from budget redirects,T08,1mvid8s
mass corporate layoffs,T08,1qpcc2d
mass layoffs,T08,1s9bz1x
mass layoffs everywhere,T08,1u7u3o6
meta bay area layoffs,T08,1qc7ake
stack ranking layoffs,T08,1qc7ake
tech job market dead,T08,1po0gip
tech job recession,T08,1r89r35
tech mass layoffs,T08,1lpwy62
AI cheating obvious,T09,1mlgwky
AI interview cheating,T09,1rh0kou
AI interview cheating tools,T09,1r5my44
authors don't understand code,T09,1towli9
blatant coding cheating,T09,1o479rh
can't explain individual contribution,T09,1rx0zy0
candidate can't explain solution,T09,1o479rh
candidate using AI answers,T09,1miu768
candidates using AI answers,T09,1oec07f
cheating with ChatGPT in interviews,T09,1mrg1k0
interviewers can detect AI,T09,1mrg1k0
no meaningful code excuse,T09,1p8k684
no understanding of code,T09,1oex6aw
unvetted AI-generated code,T09,1tysnmi
using AI in interviews,T09,1o479rh
vibe coder can't code,T09,1rteomh
CV gap stigma,T10,1swj9jd
CV gaps over-scrutinized,T10,1nz1ivd
career break family,T10,1t15bb9
caregiving employment gap,T10,1tft2mv
explain resume gap,T10,1ub3scn
explaining career gaps,T10,1m88t4b
explaining resume gaps,T10,1t15bb9
job-hopping red flag,T10,1nhbs59
normalize career breaks,T10,1nz1ivd
reason for leaving job,T10,1rujqw4
resume employment gap,T10,1m88t4b
resume gap questioning,T10,1tft2mv
