post_id	phrases
1t606n3	fake remote listings, remote for visibility, dishonest recruiters
1r1c3h0	shut down LinkedIn, hatred of LinkedIn
1p4yhsb	delayed salary payment, toxic startup culture, withholding pay illegal
1qc3u51	too many interview rounds, excessive hiring process
1u1lbfc	prolonged unemployment, hundreds of applications sent, brutal job search
1olvial	supportive appreciative boss, employee appreciation
1r5kxed	endless budget cuts, greedy executives
1muz9kp	pay to apply, out of touch CEO, fake job postings
1tcz6a3	internal candidate preferred, wasted interview rounds
1r13b1k	fake remote listings, lying job postings, misleading job location
1qr7m2m	personal rejection feedback, harsh interview feedback, honest feedback valued
1r0ezba	automated coding assessments, unprofessional recruiter messages, assessments before interview
1rsl4uv	fake entry level jobs, years experience required, beginner salaries for experience, no one wants to work
1qpo21d	rejected over resume interest, arbitrary candidate rejection, wants applicants to stand out
1u7u3o6	resume gap questions, mass layoffs everywhere, steady work history demand
1o9erjz	hundreds of applications needed, fake job postings, brutal job market, employers spray and pray
1qwkjfg	did everything right anyway, learn to code lie, economic downturn timing, college grads can't get hired
1qzituj	qualifications don't matter, referral beats merit, relationships over skills, hiring is numbers game
1r967sx	walk me through resume, recruiters didn't read resume, wants your story told
1qwoi6a	toxic work culture, unreasonable office hours, gen z pushback
1ub3scn	explain resume gap, interviews are humiliation ritual, forced to lie
1rykl1t	blacklisted from industry, HR held to standards, affair with coworker
1oqvlzf	nepotism in hiring, relative already chosen, interview is theater
1rqxb54	want job for money, why do you want job, everyone works to survive
1pszdaz	no training offered, unrealistic job requirements, pre-selected internal candidate
1ti8s8h	easy apply black hole, jobs filled internally, recruiter DM works
1r6olcv	AI productivity myth, bottlenecked by bureaucracy, execs fixate on code output
1rkldbw	fired for leaving on time, stated vs actual hours, personal time disregarded
1r74273	lying in interviews, interviews are negotiations, salary history questions
1rh0kou	CS degree devalued, flooded junior applications, AI interview cheating
1uhxpst	living wage debate, essential jobs poverty pay
1qazv96	last day work expectations, no transition planning, poor offboarding
1swj9jd	CV gap stigma, ghost job postings
1pdar5o	recruiter bridge-burning threats, declining an accepted offer, recruiter commission incentive
1uaj46z	long-term unemployment despair
1svuffl	tired of sending CVs, job search exhaustion
1sfcu04	punished for one minute late, retail petty lateness, building termination case
1ok0mi8	rejected for desperation vibes, judgmental recruiters, hiring on vibes
1rvha36	one hour to mourn, employer respecting grief
1reulsd	quit after two days, disrespectful staff training, high turnover red flag
1o2kjdo	AI impersonating candidate, fake job candidates, AI interviewing AI
1sbkgxi	recruiter got name wrong, unprofessional hiring communication, doubling down on mistake
1ql25o4	overqualified rejection, experience requirement inflation, shifting job goalposts
1o6ib5n	work after being fired, accrued vacation payout, unpaid knowledge transfer
1roudce	coworkers aren't friends, ghosted after layoff
1mqd0ot	return to office outdated, hybrid work preferred, office tax incentives
1u6i4gf	costume for interview, interview humiliation ritual
1qgf4p1	kind rejection email, ghosting after application, personalized rejection
1syi8l7	years-late application response, employers ignore applications, ghosted then contacted
1mkkvrb	interview not cancelled, position already filled, HR dropped the ball
1rtxijj	LinkedIn job search, recruiter spam, mass rejection emails
1n2ncbs	laid off via text, no two-week notice, employers don't care
1nek3kc	fired for interviewing, fake job trap, company loyalty punishment
1mbf6iu	declining overtime, managers offended by boundaries, unpaid extra work
1s9bz1x	mass layoffs, laid off via email, no two-week notice
1r89r35	junior dev jobs, tech job recession, unrealistic job requirements
1okn7vb	buying Google reviews, fake reviews flagged, ask customers for reviews
1o3ma5d	unlimited PTO problems, hidden PTO caps, no PTO payout
1mxgbxi	walked out of interview, illegal interview questions, bad company reputation
1n1sfym	too many interview rounds, rejecting the company, pre-tax salary confusion
1mo2ki0	silent quiet quitting, good work punished with more work, no fair payoff
1r8ckd2	months of job searching, landed job after grinding, ghosted after offer
1rvkcwo	question with no right answer, how you navigate problem, sitting with discomfort
1nq7ns4	too many interview rounds, months-long hiring process, offer promised then delayed
1s1f90b	what makes people burn out, interview the employer back, constantly shifting priorities
1qxizav	ghosted by recruiters, confirmation receipt email, remove recruiter friction
1oft1b5	government accountability tool, data availability problem, public contractor transparency
1qxg9vv	applicants archived unread, take the posting down, application slop
1pbh79a	unpaid overtime expectations, toxic employer red flags, underpaid for overwork
1mps033	overemployed remote worker, surveillance punishing everyone, six full-time jobs
1mvid8s	replacing juniors with AI, AI hype dying, layoffs from budget redirects
1mrjz3v	custom role created, talents being wasted, startup offer risk
1mhy26c	distracted during interview, remote interview interruption, parent interrupted meeting
1sh2o6c	vindictive former boss, fake job reference, faking reference checks
1m7zvlx	offshoring tech jobs, jobs won't return, just political talk
1muxy4k	too many interview rounds, multiple case studies, endless interview process
1qzk4sj	self-taught filtered out, resume screened out, no degree rejection
1nhk08h	end of interview question, overdone interview advice
1locuwk	first FAANG offer, rejection after rejection, leetcode grind
1nbykth	free for students, AI slop, hooking students early
1tft2mv	resume gap questioning, caregiving employment gap, intrusive interview questions
1oto36c	asked to work free, unpaid interview writeup, free work during interview
1n2n5at	staff lacked training, basic emergency training, bystander effect
1s9ikc5	removed graduation year, age discrimination hiring, overqualified screening
1ohnh7q	amazon corporate layoffs, pandemic overhiring excuse, workers are disposable pawns
1nw0yj9	quirky portfolio side project, add it to resume
1sv9mwm	home lab setup, setup cost question, real usage vs passion
1mrujpf	likeability beats productivity, soft skills over technical, AI-written post
1mrg1k0	cheating with ChatGPT in interviews, interviewers can detect AI, false AI accusations
1m1uw9v	AI replacing software engineers, AI handles small tickets, AI pushing a PR
1lzrd8r	rejection then reconsidered, second choice candidate, no interview feedback
1mcop22	quitting CS career, brutal tech job market, endless leetcode grind, tech industry toxic
1my63u8	profiled as video gamer, AI transcript leaked, hiring bias discrimination
1ohipo8	promotion denied over benefits, performance based conversation, not stepping up
1rlgqir	billionaire wealth tax
1mk8zj6	AI won't replace engineers, AI diminishing returns, managers cutting headcount
1n8g50s	offer below expectations, salary lowball on unemployed, countering the offer backfired, bait and switch offer
1nhwbhc	2000 applications one offer, year-long job search, visa sponsorship hurts chances
1ovyd48	promoted during the interview, unexpected supervisor role, escaping a toxic employer
1mg2r6y	AI slop cleanup, vibe-coded code failures, AI-generated code security flaws, non-technical clients misled
1rvnpnf	anything that gives you pause, surfacing unspoken concerns, hiring managers decide early, asking clarifying questions during interview
1ogsqs4	finance bro vs tech bro, tech millionaire lifestyle
1rg4wxs	mining bad glassdoor reviews, spotting toxic red flags, wear many hats warning, glassdoor filters bad reviews
