post_id	tension
1t606n3	T20
1r1c3h0	T115
1p4yhsb	T42
1qc3u51	T24
1u1lbfc	T01
1olvial	misc
1r5kxed	T15
1muz9kp	T115
1tcz6a3	T16
1r13b1k	T20
1qr7m2m	T13
1r0ezba	T25
1rsl4uv	T29
1qpo21d	T13
1u7u3o6	T10
1o9erjz	T05
1qwkjfg	T22
1qzituj	T16
1r967sx	T86
1qwoi6a	T69
1ub3scn	T10
1rykl1t	T33
1oqvlzf	T144
1rqxb54	T122
1pszdaz	T16
1ti8s8h	T16
1r6olcv	T98
1rkldbw	T173
1r74273	T75
1rh0kou	T12
1uhxpst	T118
1qazv96	T57
1swj9jd	T10
1pdar5o	T90
1uaj46z	T01
1svuffl	T01
1sfcu04	T35
1ok0mi8	T13
1rvha36	T35
1reulsd	T154
1o2kjdo	T139
1sbkgxi	T21
1ql25o4	T29
1o6ib5n	T77
1roudce	T34
1mqd0ot	T143
1u6i4gf	T75
1qgf4p1	T46
1syi8l7	T19
1mkkvrb	T19
1rtxijj	T05
1n2ncbs	T34
1nek3kc	T173
1mbf6iu	T69
1s9bz1x	T08
1r89r35	T22
1okn7vb	T81
1o3ma5d	T150
1mxgbxi	T174
1n1sfym	T24
1mo2ki0	T87
1r8ckd2	T01
1rvkcwo	T86
1nq7ns4	T24
1s1f90b	T117
1qxizav	T19
1oft1b5	T108
1qxg9vv	T26
1pbh79a	T45
1mps033	T28
1mvid8s	T11
1mrjz3v	misc
1mhy26c	T55
1sh2o6c	T39
1m7zvlx	T14
1muxy4k	T24
1qzk4sj	T03
1nhk08h	T86
1locuwk	T01
1nbykth	T48
1tft2mv	misc
1oto36c	T157
1n2n5at	T114
1s9ikc5	T159
1ohnh7q	T08
1nw0yj9	misc
1sv9mwm	misc
1mrujpf	T59
1mrg1k0	T158
1m1uw9v	T141
1lzrd8r	T91
1mcop22	T12
1my63u8	T37
1ohipo8	T89
1rlgqir	misc
1mk8zj6	T49
1n8g50s	T71
1nhwbhc	T05
1ovyd48	T86
1mg2r6y	T99
1rvnpnf	T46
1ogsqs4	T12
1rg4wxs	T117
1p8k684	T160
1opbf1c	T142
1mpbrm4	T42
1mwf5cc	misc
1ovx9nr	T22
1nq97gf	T28
1nihrir	T41
1udujvg	T51
1lvn993	T21
1pfnn0x	T06
1lpwy62	T08
1sdkw9z	T115
1t5xr2o	misc
1no2id4	T21
1tvg8jn	T128
1oeua90	T103
1obonv6	T06
1qqfgk4	T97
1nxxj9a	T27
1omx86l	T01
1nbkvnc	T40
1o95zv3	T152
1o6hb0e	T71
1ra48qc	T16
1rteomh	T09
1r5my44	T158
1mknxjx	T57
1tchmgq	T15
1lzl3hx	T11
1s8qy30	T08
1qiwdqa	T02
1sm6a4c	T16
1nt8eko	T71
1lv8vjn	T47
1n0yysn	T13
1n3reu8	T05
1mdcgh3	T66
1ufbwvp	T03
1o22u1k	misc
1t15bb9	misc
1ma4i05	misc
1qpcc2d	misc
1s04ili	misc
1potj30	misc
1m952bp	T103
1mt0ekr	T05
1r32a25	T17
1sfuaro	T51
1lnu6v8	misc
1o36mjj	T20
1sfw7o5	T111
1rv81ia	T71
1pq5gaz	T21
1mdcl9n	T134
1oexljh	T86
1n6nk56	T98
1sfxnau	T28
1ojbebq	T48
1pqjore	T179
1np3o82	T89
1pa3xz9	T126
1p06g8t	T108
1qqd37p	T68
1t3gbbu	T22
1rt62gb	T11
1nhbs59	T123
1mmx040	T22
1nv4vkb	T112
1qc7ake	T08
1tkccsi	T99
1lofy1t	T132
1ozlobb	T120
1sd1mk9	misc
1p2l3y8	misc
1lym1qd	T146
1mtzb36	T48
1ssm4am	T41
1oo6ml7	T108
1o479rh	T158
1mc1byh	T34
1mddh04	T72
1u81t0h	T11
