URL,Traffic (%),Number of Keywords,Traffic,Adwords Positions,Positions with commercial intents in top 20,Positions with informational intents in top 20,Positions with navigational intents in top 20,Positions with transactional intents in top 20,Positions with unknown intents in top 20,Traffic with commercial intents in top 20,Traffic with informational intents in top 20,Traffic with navigational intents in top 20,Traffic with transactional intents in top 20,Traffic with unknown intents in top 20,Traffic Change,Answer Engines,Top Keyword,Primary Intent,LLM Prompts
https://testlify.com/,14.69,349,440,0,15,26,6,1,0,9,35,397,1,0,-5,"google, google-ai, search-gpt",testlify,Informational,28
https://testlify.com/test-library/bricklayer/,9.68,1,290,0,0,1,0,0,0,0,290,0,0,0,96,,bricklayer exam,Informational,0
https://testlify.com/compa-ratio-calculator/,6.31,46,189,0,0,28,0,0,0,0,189,0,0,0,17,google,comp ratio calculator,Informational,1
https://testlify.com/pink-collar-jobs/,6.17,63,185,0,15,23,0,0,0,34,184,0,0,0,81,"gemini, google, search-gpt",pink collar employees,Informational,3
https://testlify.com/inventory-planner-interview-questions-to-ask-job-applicants/,5.27,1,158,0,0,1,0,0,0,0,158,0,0,0,158,,merchandise inventory planner interview prep,Informational,0
https://testlify.com/job-specialization/,3.13,82,94,0,27,36,0,0,0,94,75,0,0,0,69,"google, search-gpt",job specialization,Informational,4
https://testlify.com/hr-glossary/onet-occupational-information-network/,2.73,53,82,0,0,0,0,0,0,0,0,0,0,0,67,,,,0
https://testlify.com/job-description-generator/,2.43,49,73,0,14,0,0,0,0,73,0,0,0,0,38,google,job description generator,Commercial,1
https://testlify.com/interview-questions-to-check-if-the-candidate-is-tech-savvy/,2.33,5,70,0,0,5,0,0,0,0,70,0,0,0,46,,technologically savvy meaning,Informational,0
https://testlify.com/walmart-hiring-process/,1.87,77,56,0,39,32,7,1,0,15,38,3,0,0,-72,"gemini, google, google-ai, search-gpt",www.walmart careers.com,Commercial,101
https://testlify.com/test-library/creativity/,1.63,13,49,0,0,6,0,0,0,0,49,0,0,0,13,,creative ability test,Informational,0
https://testlify.com/transferable-skills/,1.43,20,43,0,0,2,0,0,0,0,43,0,0,0,-16,google,transferable skills meaning,Informational,1
https://testlify.com/types-of-aptitude-tests/,1.33,18,40,0,3,7,0,0,0,32,8,0,0,0,34,"gemini, google, google-ai",achievement vs aptitude test,Informational,5
https://testlify.com/personality-hires/,1.2,10,36,0,0,3,0,0,0,0,36,0,0,0,36,,che sginficia personality hire,Informational,0
https://testlify.com/test-library/computer-literacy/,1.2,44,36,0,1,18,0,0,0,1,35,0,0,0,2,,computer literacy test,Informational,0
https://testlify.com/screening-in-vs-screening-out/,1.13,6,34,0,3,1,0,0,0,34,0,0,0,0,-3,"google, google-ai",screening in,Commercial,3
https://app.testlify.com/login,1.06,4,32,0,0,0,1,1,0,0,0,32,32,0,32,,testlify login,"Transactional, Navigational",0
https://testlify.com/white-collar-vs-blue-collar-jobs/,1.06,105,32,0,8,15,0,0,0,10,17,0,0,0,8,"google-ai, search-gpt",blue collar vs white collar,Informational,3
https://testlify.com/pricing/,1.06,6,32,0,0,0,1,0,0,0,0,32,0,0,0,search-gpt,testlify pricing,Navigational,2
https://testlify.com/test-library/cashier/,0.96,15,29,0,0,9,0,0,0,0,29,0,0,0,-10,,cashier assessment test,Informational,0
https://testlify.com/what-are-the-4-pillars-of-talent-management/,0.96,59,29,0,10,53,0,0,0,12,29,0,0,0,-56,"google, google-ai",talent management tools,Informational,11
https://testlify.com/test-library/analytical-ability/,0.9,16,27,0,0,3,0,1,0,0,27,0,0,0,20,google-ai,analytical ability,Informational,1
https://testlify.com/hr-glossary/diversity-candidate/,0.83,17,25,0,0,9,0,0,0,0,25,0,0,0,-8,,diversity candidate means,Informational,0
https://testlify.com/talent-review/,0.83,11,25,0,2,1,0,0,0,25,25,0,0,0,-3,"google-ai, search-gpt",talent review,Commercial,2
https://testlify.com/job-description-vs-job-specification/,0.76,36,23,0,5,9,0,0,0,5,19,0,0,0,7,google,role description,Informational,1
